Plot_id,region,PHY,carbon_ton_ha,geog_phys_,zone,X,Y,lon,lat,dem,DISTRICT,STATE_CODE,trees/ha_second,trees/ha_first,BA_sqm_ha_second,BA_sqm_ha_first,bio_mass_ad_second,bio_mass_ad_first,crown_cover_second,crown_cover_first,date_first,date_second,duration
100-43-1,3,3,42.67447873,3,45,214502.8915,3073739.205,84.10347522,27.75782944,1139,NAWALPARASI,4,555.32,#N/A,13.54877913,#N/A,99.87643958,#N/A,69,#N/A,#N/A,2020,#N/A
100-43-2,3,3,49.61219366,3,45,214502.8915,3073889.205,84.1034394,27.75918184,1090,NAWALPARASI,4,799.6,#N/A,17.62836144,#N/A,116.1136447,#N/A,88,#N/A,#N/A,2020,#N/A
100-56-1,3,3,154.3603672,3,45,215759.7552,3125724.013,84.10370248,28.22677942,925,KASKI,4,2533.37,2453.417657,46.35253385,38.14489497,361.2689446,346.5524291,84,72,2011,2019,2783
100-56-2,3,3,39.46391515,3,45,215759.7552,3125874.013,84.10366595,28.22813174,962,KASKI,4,899.04,323.615051,13.91674096,8.830644444,92.3623546,88.13334133,29,68,2011,2019,2782
100-57-4,3,3,117.9564045,3,45,216156.437,3129722.845,84.10676676,28.26291611,1681,KASKI,4,981.39,#N/A,43.848399,#N/A,276.0681808,#N/A,88,#N/A,#N/A,2020,#N/A
100-57-5,3,3,48.71875322,3,45,216156.437,3129872.845,84.1067302,28.26426842,1716,KASKI,4,1054.71,#N/A,19.20758994,#N/A,114.0226139,#N/A,77,#N/A,#N/A,2020,#N/A
101-40-1,3,2,159.9830399,2,45,218211.6774,3061646.029,84.1439074,27.64957525,204,NAWALPARASI,4,2427.16,2791.179814,37.36930672,45.37377656,374.4283913,613.9544032,#N/A,#N/A,2013,2020,2514
101-40-2,3,2,90.83184757,2,45,218211.6774,3061796.029,84.14387224,27.65092772,201,NAWALPARASI,4,1058.4,1406.53181,21.61185117,20.11019687,212.5851752,188.2882191,#N/A,#N/A,2013,2020,2514
101-40-3,3,2,115.2468384,2,45,218211.6774,3061946.029,84.14383707,27.65228019,215,NAWALPARASI,4,469.52,79.57747155,21.87149659,23.01251875,269.726643,366.6291153,#N/A,#N/A,2013,2020,2514
101-40-4,3,2,86.79711594,2,45,218511.6774,3061646.029,84.14694502,27.64963784,198,NAWALPARASI,4,1727.38,2196.338215,25.82077342,23.71270469,203.1421863,204.0188033,#N/A,#N/A,2013,2020,2514
